ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:1572_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/13360c23-b516-545e-b555-dd189fe995dc,object identifier,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_AcquisitionNumbers,1,,,,64016/1,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_Acquisitions,1,tr:lh:3207,"dlod={""name"":""Archief van Nestor de Tière"",""ark"":""ark:/24970/x0/83dc6512-13d2-567f-ba22-8bcd25f86099"",""uri"":""/repositories/11/accessions/343152"",""id"":""tr:lh:3207"",""date"":""1960-07-06"",""granter"":""Germaine de Jonghe"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/83dc6512-13d2-567f-ba22-8bcd25f86099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96953,"dlod={""name"":""Tekeningen"",""ark"":""ark:/24970/x0/b30ad5d9-5974-5bb8-ac13-1f0613174600"",""uri"":""/repositories/11/archival_objects/10373974"",""id"":""isad:lh:96953"",""nameWithContext"":[""Verzamelingen"",""Kunstwerken""],""resourceName"":""Archief van Nestor de Tière"",""resourceArk"":""ark:/24970/x0/b72ce9ee-f475-5ea3-b570-b3b68b5eee5d"",""resourceURI"":""/repositories/11/resources/55643"",""resourceID"":""isad:lh:520"",""capacity"":""Tekeningen"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/b30ad5d9-5974-5bb8-ac13-1f0613174600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_Conditions,2,,,,,,note.lhconditie,"<p>Tekening: geschuurd links boven</p>
<p>Kader: licht beschadigd</p>
",,,,,,,,,,,"<p>Tekening: geschuurd links boven</p>
<p>Kader: licht beschadigd</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,138 x 98,,,,,,,,,,,,,,,,,"138 x 98 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,160 x 120,,,,,,,,,,,,,,,,,"160 x 120 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,1380,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13360c23-b516-545e-b555-dd189fe995dc,tg:lhtk:1572_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,980,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
