ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:10811_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/706afb02-a5ff-52e9-9b73-5294a81a44c9,object identifier,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_Acquisitions,1,tr:lh:2432,"dlod={""name"":""Archief van Albert Daenens"",""ark"":""ark:/24970/x0/e1b3239c-c0ea-5850-9b5f-ff51bddc1e9d"",""uri"":""/repositories/11/accessions/260227"",""id"":""tr:lh:2432"",""date"":""1953-03-10"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/e1b3239c-c0ea-5850-9b5f-ff51bddc1e9d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_Archives,1,,,,,,,,,,,isad:lh:127149,"dlod={""name"":""1922 - Henri Guilbeaux: Kraskreml et Autres Poèmes (Les Humbles, 1922)"",""ark"":""ark:/24970/x0/326f0d87-d0aa-5892-a09f-5e77dd710d68"",""uri"":""/repositories/11/archival_objects/13604946"",""id"":""isad:lh:127149"",""nameWithContext"":[""Werkstukken"",""Kunstwerken"",""Grafisch werk (Doos 9)"",""Varia""],""resourceName"":""Archief van Albert Daenens"",""resourceArk"":""ark:/24970/x0/6d4950d5-a745-5d08-bb4d-e23f3809c950"",""resourceURI"":""/repositories/11/resources/613755"",""resourceID"":""isad:lh:5736"",""capacity"":""1922 - Henri Guilbeaux: Kraskreml et Autres Poèmes (Les Humbles, 1922)"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/326f0d87-d0aa-5892-a09f-5e77dd710d68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"30 x 29,5",,,,,,,,,,,,,,,,,"30 x 29,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,300,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,295,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:2432,tg:lhtk:10811_#1,,isad:lh:127149,D 1175 / I (Doos 3),706afb02-a5ff-52e9-9b73-5294a81a44c9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
706afb02-a5ff-52e9-9b73-5294a81a44c9,tg:lhtk:10811_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
