ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:1491_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/0a3c8171-7aee-5016-ad64-d104da0bd0a3,object identifier,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_AcquisitionNumbers,1,,,,46739/3,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_Acquisitions,1,tr:lh:2422,"dlod={""name"":""Archiefstukken van Stanislas van der Brempt"",""ark"":""ark:/24970/x0/7f386dca-5f2a-597e-a8b0-f1fa5d106574"",""uri"":""/repositories/11/accessions/259157"",""id"":""tr:lh:2422"",""date"":""1953-02-20"",""granter"":""Stanislas van der Brempt"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/7f386dca-5f2a-597e-a8b0-f1fa5d106574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_Archives,1,,,,,,,,,,,isad:lh:96937,"dlod={""name"":""Tekeningen door Stanislas van der Brempt"",""ark"":""ark:/24970/x0/c64615cd-2850-55c1-84aa-b31f01f2e840"",""uri"":""/repositories/11/archival_objects/10372262"",""id"":""isad:lh:96937"",""nameWithContext"":[""Werkstukken"",""Kunstwerken""],""resourceName"":""Archief van Stanislas van der Brempt"",""resourceArk"":""ark:/24970/x0/e8827a6c-2430-5db5-9910-32e8271c7755"",""resourceURI"":""/repositories/11/resources/482466"",""resourceID"":""isad:lh:4509"",""capacity"":""Tekeningen door Stanislas van der Brempt"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/c64615cd-2850-55c1-84aa-b31f01f2e840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"13,6 x 10,5",,,,,,,,,,,,,,,,,"13,6 x 10,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,136,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,105,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:2422,tg:lhtk:1491_#1,46739/3,isad:lh:96937,,0a3c8171-7aee-5016-ad64-d104da0bd0a3,K1 C 54 D2,ICO-014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a3c8171-7aee-5016-ad64-d104da0bd0a3,tg:lhtk:1491_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>o.r.: _Zielens SVB 1939 <!-- raw HTML omitted --></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
