ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:2646_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/d8854f0c-2069-5e8c-a295-29f467ff4e7f,object identifier,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_AcquisitionNumbers,1,,,,98018/6,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_AnnotationsMaterial,1,,,,,,adm.note,"**Publikatie (van de tekst):** Pernath, Hugues C., _Mijn tegenstem. Gedichten
1966-1973._ Antwerpen: Pink Editions & Productions, 1973, p. 45.","**Publikatie (van de tekst):** Pernath, Hugues C., _Mijn tegenstem. Gedichten
1966-1973._ Antwerpen: Pink Editions & Productions, 1973, p. 45.",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,cardboard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"40 x 27,5",,,,,,,,,,,,,,,,,"40 x 27,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,400,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,275,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,tg:lhtk:2646_#1,98018/6,,Planex GT / P 3445,d8854f0c-2069-5e8c-a295-29f467ff4e7f,,,,remarks,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Rechts onder de tekening met inkt: <em>Hugues C. Pernath. / 1967.</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,felt-tip pens,,,,,,,,,,,,,,,,,,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.0,permission required,,,,,,,,
d8854f0c-2069-5e8c-a295-29f467ff4e7f,tg:lhtk:2646_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lfZMajMqZZRYYIXncaGD7rVT,lhtk,https://dams.antwerpen.be/iiif/lfZMajMqZZRYYIXncaGD7rVT/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/lfZMajMqZZRYYIXncaGD7rVT,DAMS Image,lh,Iconografie
