ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:9174_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/b884505d-9737-5d44-a3c3-46f7315f2d96,object identifier,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_AcquisitionNumbers,1,,,,220340/2d,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_Acquisitions,1,tr:lh:30810,"dlod={""name"":""Schenking van Betty de Roy-Pelgrims"",""ark"":""ark:/24970/x0/a0ff509f-8cb7-55cb-982a-f33a603fedec"",""uri"":""/repositories/11/accessions/3296673"",""id"":""tr:lh:30810"",""date"":""2008-02-13"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/a0ff509f-8cb7-55cb-982a-f33a603fedec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),kenmerken/lhdragerico.lhkleur,white (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_Conditions,3,,,,,,note.lhconditie,"<p>04/08/2009: Vuil, vergeeld.</p>
",,,,,,,,,,,"<p>04/08/2009: Vuil, vergeeld.</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"15,2 x 11,8",,,,,,,,,,,,,,,,,"15,2 x 11,8 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,152,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,118,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:30810,tg:lhtk:9174_#1,220340/2d,,C 345 / I,b884505d-9737-5d44-a3c3-46f7315f2d96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b884505d-9737-5d44-a3c3-46f7315f2d96,tg:lhtk:9174_#1,e22_Marks,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Onderaan v.l.n.r.:_Zelfportret. (Studie) 7-6-1925.</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
