ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:3251_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/546f591c-3de5-503d-8608-18b0169c4d72,object identifier,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_AcquisitionNumbers,1,,,,107503/22,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>matig</p>
",,,,,,,,,,,"<p>matig</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,16.5 x 15.5,,,,,,,,,,,,,,,,,"16.5 x 15.5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,165,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,155,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhpr,,tg:lhpr:3251_#1,107503/22,,C 148 / I,546f591c-3de5-503d-8608-18b0169c4d72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhpr,,,,,,,,,,,,,,,kenmerken/lhtechbasispr.lhtechpr,ink,,,,,,,,,,,,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_ProductionTechniques,1,,,,,,kenmerken/lhtechbasispr.lhtechpr,phs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woodcut (process),,,,,,,,,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,e22_UsageRestrictions,,,,,,,default_restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,permission required,,,,,,,,
546f591c-3de5-503d-8608-18b0169c4d72,tg:lhpr:3251_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e2f7EUd3nqmZTTF6EOPWNOnc,lhpr,https://dams.antwerpen.be/iiif/e2f7EUd3nqmZTTF6EOPWNOnc/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/e2f7EUd3nqmZTTF6EOPWNOnc,DAMS Image,lh,Iconografie
