ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:13219_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/2fe6dd29-791b-53f5-92bf-5e13d1e9941b,object identifier,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_AcquisitionNumbers,1,,,,197496/27,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_Acquisitions,1,tr:lh:5399,"dlod={""name"":""Schenking van Vic Estercam"",""ark"":""ark:/24970/x0/29dd9b02-1abb-554b-8958-37de79c0412e"",""uri"":""/repositories/11/accessions/577696"",""id"":""tr:lh:5399"",""date"":""1978-07-28"",""granter"":""Vic Estercam"",""isCapacity"":false,""orgID"":""lh"",""suggestType"":""accessions""}",ark:/24970/x0/29dd9b02-1abb-554b-8958-37de79c0412e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_Archives,1,,,,,,,,,,,isad:lh:97242,"dlod={""name"":""Tekeningen en aquarellen door Vic Estercam"",""ark"":""ark:/24970/x0/8866804d-1aaf-50de-b70b-aca63396cab4"",""uri"":""/repositories/11/archival_objects/10404897"",""id"":""isad:lh:97242"",""nameWithContext"":[""Werkstukken"",""Kunstwerken""],""resourceName"":""Archief van Vic Estercam"",""resourceArk"":""ark:/24970/x0/96577a42-ae25-5afd-9bcb-88d6e941bfee"",""resourceURI"":""/repositories/11/resources/7768845"",""resourceID"":""isad:lh:72606"",""capacity"":""Tekeningen en aquarellen door Vic Estercam"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/8866804d-1aaf-50de-b70b-aca63396cab4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),kenmerken/lhdragerico.lhkleur,black (color),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_Conditions,1,,,,,,note.lhconditie,"<p>goed</p>
",,,,,,,,,,,"<p>goed</p>
",Nederlands,condition/examination description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"28,5 x 18",,,,,,,,,,,,,,,,,"28,5 x 18 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,285,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,180,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,tr:lh:5399,tg:lhtk:13219_#1,197496/27,isad:lh:97242,,2fe6dd29-791b-53f5-92bf-5e13d1e9941b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,pencils (drawing and writing equipment),,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechaanvtk.lhtechtaddtk,wax crayons,,,,,,,,,,,,,,,,,,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959.0,permission required,,,,,,,,
2fe6dd29-791b-53f5-92bf-5e13d1e9941b,tg:lhtk:13219_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B1BTSgHSUcW8TbWEuYjVWqOl,lhtk,https://dams.antwerpen.be/iiif/B1BTSgHSUcW8TbWEuYjVWqOl/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/B1BTSgHSUcW8TbWEuYjVWqOl,DAMS Image,lh,Iconografie
