ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhtk:7852_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/e28ba083-d160-5ef6-98d6-af2e06767ce8,object identifier,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_AcquisitionNumbers,1,,,,122911/2,aanwinst nummer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"39 x 25,5",,,,,,,,,,,,,,,,,"39 x 25,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,390,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,255,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,tg:lhtk:7852_#1,122911/2,,Planex GT / O 1621,e28ba083-d160-5ef6-98d6-af2e06767ce8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p><strong>Recto:</strong></p>
<p>Links onder de tekening met inkt: <em>STAN / VAN / OFFEL / 1914</em></p>
<p><strong>Verso:</strong></p>
<p>Links boven met potlood: <em>Proclamatie</em></p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhtk,,,,,,,,,,,,,,,kenmerken/lhtechbasistk.lhtechtk,India ink (ink),,,,,,,,,,,,,,,,,,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1914.0,permission required,,,,,,,,
e28ba083-d160-5ef6-98d6-af2e06767ce8,tg:lhtk:7852_#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bj3gXRfZISS8cX4jcYZP3cKN,lhtk,https://dams.antwerpen.be/iiif/Bj3gXRfZISS8cX4jcYZP3cKN/manifest,DAMS Manifest,https://dams.antwerpen.be/asset/Bj3gXRfZISS8cX4jcYZP3cKN,DAMS Image,lh,Iconografie
