ResourceID,brocade.id,card,order,Acquisition Brocade ID,Acquisition Widget,Acquisition Identifier,Acquisition Number,Acquisition Number Type,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,carrier_colour_source_field,Carrier Colour,Condition State Note,Condition State Notes Language,Condition State Notes Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,dataset,adm.acquiredVia,adm.id_mat,mpm_place_holder,adm.isadPartOf,Plaatsingsnummer,adm.uuid_mat,Warehouse Location (begin),Volgnummer,Warehouse Location (end),Source Note Type,Source Note Language,Mark Note,Mark Type,Mark Language,mat_source_field,Material,col_source_field,Material Colour,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Note,Production Technique Type,Keeper,Object Number,Object Number Type,Object Identifier,Object Identifier Type,Object Type,source_date,Restriction Type,dams_uuid,db,Image Manifest,Image Manifest Type,Image URL,Image URL Type,museum,model
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letterenhuis,tg:lhpr:10468_#1,record identifiers,https://data.letterenhuis.be/ark:/24970/df3b5a65-f36f-55f1-aa42-1b3b2ed22396,object identifier,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Archives,1,,,,,,,,,,,isad:lh:128137,"dlod={""name"":""Kunstwerken"",""ark"":""ark:/24970/x0/715e738c-ed24-5a1b-af7d-93045227061d"",""uri"":""/repositories/11/archival_objects/13710662"",""id"":""isad:lh:128137"",""nameWithContext"":[""Verzamelingen""],""resourceName"":""Archief van Victor Delhez"",""resourceArk"":""ark:/24970/x0/21d60a67-d2a7-55fc-a151-0d1f9a7eb062"",""resourceURI"":""/repositories/11/resources/281948"",""resourceID"":""isad:lh:2635"",""capacity"":""Kunstwerken"",""isCapacity"":true,""orgID"":""lh"",""suggestType"":""archiveobject""}",ark:/24970/x0/715e738c-ed24-5a1b-af7d-93045227061d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Carrier,1,,,,,,,,,,,,,,kenmerken/lhdragerico.lhdragertypeico,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatwerkic,"17,5 x 22,5",,,,,,,,,,,,,,,,,"17,5 x 22,5 - height, width, kenmerken/lhformatic.lhformatwerkic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken/lhformatic.lhformatrandic,60 x 43,,,,,,,,,,,,,,,,,"60 x 43 - height, width, kenmerken/lhformatic.lhformatrandic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,175,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatwerkic,,,,,,,,,,,,,,,225,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,600,hoogte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Dimensions,,,,,,,kenmerken/lhformatic.lhformatrandic,,,,,,,,,,,,,,,430,breedte met rand,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,,,,,,lhpr,,tg:lhpr:10468_#1,,isad:lh:128137,Planex GP / X 1,df3b5a65-f36f-55f1-aa42-1b3b2ed22396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Links onderaan de legende van Brabo en Antigoon. De Schelde. De geschiedenis van een fiere, vrije stad Antwerpen</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_Marks,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Links onderaan opschrift :<br />
_Met deze houtsnede, een originele weergave van de legende van Antwerpen, wenst F. Walter Thompson Company u het beste voor 1966. _</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_MaterialColour,,,,,,,,,,,,,,,,,,,,,,,,,,lhpr,,,,,,,,,,,,,,,kenmerken/lhtechbasispr.lhtechpr,ink,,,,,,,,,,,,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_ObjectTypes,1,,,,,,default_object_type,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_ProductionTechniques,1,,,,,,kenmerken/lhtechbasispr.lhtechpr,phs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,woodcut (process),,,,,,,,,,,,,,,,
df3b5a65-f36f-55f1-aa42-1b3b2ed22396,tg:lhpr:10468_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901.0,permission required,,,,,,,,
