ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,Documented Place Name Widget,Creation Place Widget,Transactions
b4315219-f5aa-5e63-bcc3-ad426b6178b7,tg:rubgr:5204,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:5204,https://data.rubenianum.be//ark:/86530/b4315219-f5aa-5e63-bcc3-ad426b6178b7,Handschriften,,,,,,,
b4315219-f5aa-5e63-bcc3-ad426b6178b7,tg:rubgr:5204,e73_AssociatedRecords,1,,,,,,,,,rubgr_tekstdrager,relatie naar geheel,tg:rubgr:5192,Verwijzing naar Grossmann object,,9b7b8e3a-42c0-502b-a70d-0da6565f8ef2,"[{""resourceId"": ""9b7b8e3a-42c0-502b-a70d-0da6565f8ef2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ab7af698-eb12-435e-a2c0-27ff3e259458"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4315219-f5aa-5e63-bcc3-ad426b6178b7,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""a5471c7c-118f-40fe-b08b-bf8fa33ec081"", ""ontologyProperty"": """", ""resourceXresourceId"": ""514fbd7b-3e30-44d3-8501-6d00fae29e90"", ""inverseOntologyProperty"": """"}]"
b4315219-f5aa-5e63-bcc3-ad426b6178b7,tg:rubgr:5204,e73_CreationTimeSpans,,default_copyright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Copyright Undetermined,,,,
b4315219-f5aa-5e63-bcc3-ad426b6178b7,tg:rubgr:5204,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Joseph Ludwig Fischer, Handbuch der Glasmalerei, 2. Aufl., Leipzig 1937, citaat p. 182.",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4315219-f5aa-5e63-bcc3-ad426b6178b7,tg:rubgr:5204,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glasschilderkunst,,,,,,,,,,,,,,,,,,,,,,,,,,
b4315219-f5aa-5e63-bcc3-ad426b6178b7,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000005204,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,
b4315219-f5aa-5e63-bcc3-ad426b6178b7,,e73_LegacyInformation,1,if.rawcontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<record>
			<priref>7460</priref>
			<number>AFG_143_083</number>
			<part_of_reference>AFG_143_071</part_of_reference>
			<content>Joseph Ludwig Fischer, Handbuch der Glasmalerei, 2. Aufl., Leipzig 1937, citaat p. 182.</content>
			<object.object_number>AFG_143</object.object_number>
			<object.object_name>Dossier</object.object_name>
			<part_of.title>Grisaille. Printing. Bosch-Thyssen.</part_of.title>
			<class>AFG</class>
			<editorial_form>Notitie</editorial_form>
			<editorial_form>Referentie</editorial_form>
			<object.title>Bruegel, Gl&#252;ck 50, Adulteress</object.title>
			<keyword>glasschilderkunst</keyword>
			<object.creator/>
			<input.date>2014-08-18</input.date>
			<input.name>Centrum</input.name>
			<input.time>08:53:34</input.time>
			<input.source>archive</input.source>
		</record>
		
",commentaar gebruiker,False,,,,,,,,,,,,,,,,,,,,,,
b4315219-f5aa-5e63-bcc3-ad426b6178b7,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:rubgr:5204,brocade id,False,,,,,,,,,,,,,,,,,,,,,,
b4315219-f5aa-5e63-bcc3-ad426b6178b7,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacrubobj/tg:rubgr:5204/N,brocade url,False,,,,,,,,,,,,,,,,,,,,,,
