ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,kenmerken.rubobjnrgr,isaad,Associated Archive,dataset,Associated Record Relation,Associated Brocade ID,Associated Record URL Type,Associated Record Note,related_uuid,Associated Record,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Start Date,Start Date Type,End Date,Start Date Note,Start Date Note Type,Start Date Note Language,End Date Type,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation URL,External Relation URL Prefix,External Relation URL Type,External Relation Note,External Relation Note Language,External Relation Note Type,Keyword,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Original Entity Type,Original Entity Note,Original Entity Widget,Original Entity Identifier,Original Entity Type.1,Other Identifier,Other Identifier Type,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Documented Place Order,Documented Place Name Widget,Creation Place Widget,Transactions
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,tg:rubgr:324,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rubenianum,tg:rubgr:324,https://data.rubenianum.be//ark:/86530/9b27b108-c363-52c9-b5fe-9c2b58cdf97f,Handschriften,,,,,,,
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,tg:rubgr:324,e73_AssociatedRecords,1,,,,,,,,,rubgr_tekstdrager,relatie naar geheel,tg:rubgr:336,Verwijzing naar Grossmann object,,43b9664a-a4bd-5a52-b322-eaf31742c673,"[{""resourceId"": ""43b9664a-a4bd-5a52-b322-eaf31742c673"", ""ontologyProperty"": """", ""resourceXresourceId"": ""692545e7-0e1c-4501-8b24-05b337c73499"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,tg:rubgr:324,e73_AssociatedRecords,2,,,,,,,,,rubgr_tekstdrager,gerelateerd onderdeel,tg:rubgr:348,Verwijzing naar Grossmann object,,df189aed-1b3e-5489-af24-97b5737459de,"[{""resourceId"": ""df189aed-1b3e-5489-af24-97b5737459de"", ""ontologyProperty"": """", ""resourceXresourceId"": ""86a5d430-9478-4b5c-894d-3ca5921c04ee"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""e5985fa9-825c-4efd-b500-cc4ba23595d3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c7f97431-4403-4e59-a438-1169549558a1"", ""inverseOntologyProperty"": """"}]"
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,tg:rubgr:324,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953.0,2068,In Copyright,,,,
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,tg:rubgr:324,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19530526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,tg:rubgr:324,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,tg:rubgr:324,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[4 bladen] [blad 1] Ad [Addendum] 5: Wiesbaden, 26-5-53. Bruegel: Sprichwörter ziemlich breit gemalt. Rechts unten bez.: BRVEGEL 155/69. Die zweite 5 ist leichter [onleesbaar] übergangen u. beinahe in eine 6 verandert. [blad 1-4: beschrijving]; [blad 4, verso] Jan Brueghel's Paradies [...][scan]",descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,tg:rubgr:324,e73_Keywords,1,kenmerken.rubkeyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wiesbaden, Museum Wiesbaden, Kunstsammlungen",,,,,,,,,,,,,,,,,,,,,,,,,,
9b27b108-c363-52c9-b5fe-9c2b58cdf97f,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN14/gr/000000324,referentienummer,False,,,,,,,,,,,,,,,,,,,,,,
